,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,undPriceAsk,undPriceBid,undPriceMid,undPriceLondonTime,undPriceTimestamp
0,PLTR210122C00014500,12/01/2021 18:38,14.5,11.55,0,0,0,0,3,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
1,PLTR210122C00015000,07/01/2021 16:55,15,12,0,0,0,0,2,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
2,PLTR210122C00015500,13/01/2021 20:52,15.5,10,0,0,0,0,1,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
3,PLTR210122C00016000,08/01/2021 14:32,16,9.3,0,0,0,0,11,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
4,PLTR210122C00016500,08/01/2021 14:58,16.5,9.5,0,0,0,0,1,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
5,PLTR210122C00017000,13/01/2021 19:57,17,8.45,0,0,0,0,82,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
6,PLTR210122C00017500,12/01/2021 14:30,17.5,8.8,0,0,0,0,2,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
7,PLTR210122C00018000,13/01/2021 19:30,18,7.5,0,0,0,0,13,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
8,PLTR210122C00018500,13/01/2021 20:12,18.5,6.9,0,0,0,0,11,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
9,PLTR210122C00019000,13/01/2021 19:37,19,6.45,0,0,0,0,11,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
10,PLTR210122C00019500,13/01/2021 19:33,19.5,6,0,0,0,0,9,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
11,PLTR210122C00020000,13/01/2021 19:54,20,5.55,0,0,0,0,86,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
12,PLTR210122C00020500,13/01/2021 20:59,20.5,5,0,0,0,0,17,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
13,PLTR210122C00021000,13/01/2021 20:23,21,4.45,0,0,0,0,5,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
14,PLTR210122C00021500,13/01/2021 19:57,21.5,4.05,0,0,0,0,40,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
15,PLTR210122C00022000,13/01/2021 20:54,22,3.63,0,0,0,0,317,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
16,PLTR210122C00022500,13/01/2021 19:03,22.5,3.3,0,0,0,0,30,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
17,PLTR210122C00023000,13/01/2021 20:42,23,2.76,0,0,0,0,158,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
18,PLTR210122C00023500,13/01/2021 20:27,23.5,2.38,0,0,0,0,118,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
19,PLTR210122C00024000,13/01/2021 20:58,24,2.06,0,0,0,0,755,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
20,PLTR210122C00024500,13/01/2021 20:55,24.5,1.78,0,0,0,0,733,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
21,PLTR210122C00025000,13/01/2021 20:58,25,1.55,0,0,0,0,2217,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
22,PLTR210122C00025500,13/01/2021 20:59,25.5,1.33,0,0,0,0,1722,0,0.000498276,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
23,PLTR210122C00026000,13/01/2021 20:59,26,1.12,0,0,0,0,9000,0,0.031259688,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
24,PLTR210122C00026500,13/01/2021 20:56,26.5,0.97,0,0,0,0,3800,0,0.062509375,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
25,PLTR210122C00027000,13/01/2021 20:59,27,0.82,0,0,0,0,14159,0,0.12500875,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
26,PLTR210122C00027500,13/01/2021 20:58,27.5,0.7,0,0,0,0,3572,0,0.12500875,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
27,PLTR210122C00028000,13/01/2021 20:59,28,0.6,0,0,0,0,8320,0,0.12500875,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
28,PLTR210122C00028500,13/01/2021 20:58,28.5,0.5,0,0,0,0,2550,0,0.2500075,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
