,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,undPriceAsk,undPriceBid,undPriceMid,undPriceLondonTime,undPriceTimestamp
0,PLTR210115C00003000,08/01/2021 18:54,3,21.76,0,0,0,0,23,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
1,PLTR210115C00004000,11/01/2021 18:51,4,22.15,0,0,0,0,,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
2,PLTR210115C00005000,12/01/2021 20:59,5,21.1,0,0,0,0,5,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
3,PLTR210115C00006000,04/01/2021 14:58,6,17.1,0,0,0,0,13,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
4,PLTR210115C00007000,29/12/2020 14:36,7,18.65,0,0,0,0,10,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
5,PLTR210115C00008000,21/12/2020 18:03,8,19.6,0,0,0,0,1,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
6,PLTR210115C00009000,08/01/2021 14:41,9,16.35,0,0,0,0,39,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
7,PLTR210115C00010000,13/01/2021 16:46,10,16.1,0,0,0,0,1,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
8,PLTR210115C00011000,11/01/2021 16:31,11,14.91,0,0,0,0,3,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
9,PLTR210115C00012000,13/01/2021 20:31,12,13.35,0,0,0,0,2,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
10,PLTR210115C00013000,13/01/2021 19:09,13,12.65,0,0,0,0,12,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
11,PLTR210115C00014000,13/01/2021 16:38,14,12.07,0,0,0,0,13,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
12,PLTR210115C00015000,13/01/2021 19:49,15,10.52,0,0,0,0,24,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
13,PLTR210115C00016000,13/01/2021 19:30,16,9.5,0,0,0,0,66,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
14,PLTR210115C00017000,13/01/2021 18:28,17,8.57,0,0,0,0,16,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
15,PLTR210115C00018000,13/01/2021 18:33,18,7.56,0,0,0,0,20,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
16,PLTR210115C00019000,13/01/2021 18:51,19,6.35,0,0,0,0,119,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
17,PLTR210115C00019500,13/01/2021 18:29,19.5,6,0,0,0,0,4,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
18,PLTR210115C00020000,13/01/2021 20:14,20,5.4,0,0,0,0,1744,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
19,PLTR210115C00020500,13/01/2021 20:50,20.5,4.95,0,0,0,0,111,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
20,PLTR210115C00021000,13/01/2021 19:44,21,4.4,0,0,0,0,147,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
21,PLTR210115C00021500,13/01/2021 20:21,21.5,3.9,0,0,0,0,104,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
