,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,PLTR210115C00003000,2021-01-08 18:54:00,3.0,21.76,22.7,22.9,0.0,0.0,23.0,4,1.0000000000000003e-05,True,REGULAR,USD
1,PLTR210115C00004000,2021-01-11 18:51:49,4.0,22.15,21.8,22.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
2,PLTR210115C00005000,2021-01-08 18:23:25,5.0,20.35,20.8,21.0,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
3,PLTR210115C00006000,2021-01-04 14:58:29,6.0,17.1,19.7,19.9,0.0,0.0,13.0,1,1.0000000000000003e-05,True,REGULAR,USD
4,PLTR210115C00007000,2020-12-29 14:36:00,7.0,18.65,18.7,18.9,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD
5,PLTR210115C00008000,2020-12-21 18:03:21,8.0,19.6,17.75,17.95,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
6,PLTR210115C00009000,2021-01-08 14:41:37,9.0,16.35,16.75,16.9,0.0,0.0,39.0,1,1.0000000000000003e-05,True,REGULAR,USD
7,PLTR210115C00010000,2021-01-07 20:44:49,10.0,15.85,15.75,15.9,0.0,0.0,3.0,99,1.0000000000000003e-05,True,REGULAR,USD
8,PLTR210115C00011000,2021-01-11 16:31:16,11.0,14.55,14.7,14.85,0.0,0.0,13.0,10,1.0000000000000003e-05,True,REGULAR,USD
9,PLTR210115C00012000,2021-01-12 14:39:20,12.0,14.3,13.75,13.95,0.4499998,3.249096,2.0,17,1.0000000000000003e-05,True,REGULAR,USD
10,PLTR210115C00013000,2021-01-11 18:40:35,13.0,13.0,12.75,12.9,0.0,0.0,30.0,42,1.0000000000000003e-05,True,REGULAR,USD
11,PLTR210115C00014000,2021-01-11 18:41:58,14.0,12.1,11.85,11.9,0.0,0.0,18.0,132,1.0000000000000003e-05,True,REGULAR,USD
12,PLTR210115C00015000,2021-01-11 18:41:58,15.0,10.8,10.85,11.0,0.0,0.0,94.0,454,1.0000000000000003e-05,True,REGULAR,USD
13,PLTR210115C00016000,2021-01-12 14:30:04,16.0,10.25,9.75,9.95,0.5,5.1282053,7.0,293,1.0000000000000003e-05,True,REGULAR,USD
14,PLTR210115C00017000,2021-01-12 14:38:12,17.0,9.25,8.75,8.9,0.3000002,3.3519576,10.0,515,1.0000000000000003e-05,True,REGULAR,USD
15,PLTR210115C00018000,2021-01-12 14:38:28,18.0,8.3,7.85,8.05,0.3000002,3.7500024,9.0,1801,1.0000000000000003e-05,True,REGULAR,USD
16,PLTR210115C00019000,2021-01-11 19:50:50,19.0,6.75,6.75,6.95,0.0,0.0,77.0,1205,1.0000000000000003e-05,True,REGULAR,USD
17,PLTR210115C00019500,2021-01-12 14:34:46,19.5,6.4,6.35,6.5,0.4500003,7.5630307,20.0,49,1.0000000000000003e-05,True,REGULAR,USD
18,PLTR210115C00020000,2021-01-12 14:30:09,20.0,6.25,5.85,5.9,0.5999999,10.619468,11.0,7272,1.0000000000000003e-05,True,REGULAR,USD
19,PLTR210115C00020500,2021-01-12 14:40:40,20.5,5.7,5.3,5.4,0.43999958,8.36501,8.0,133,1.0000000000000003e-05,True,REGULAR,USD
20,PLTR210115C00021000,2021-01-12 14:41:13,21.0,5.1,4.8,4.9,0.26999998,5.5900617,36.0,2400,1.0000000000000003e-05,True,REGULAR,USD
21,PLTR210115C00021500,2021-01-11 20:42:23,21.5,4.26,4.35,4.5,0.0,0.0,59.0,414,1.0000000000000003e-05,True,REGULAR,USD
22,PLTR210115C00022000,2021-01-12 14:39:43,22.0,4.36,3.85,4.0,0.7600002,21.111118,5.0,2492,1.0000000000000003e-05,True,REGULAR,USD
23,PLTR210115C00022500,2021-01-12 14:45:55,22.5,3.4,3.4,3.55,0.05000019,1.4925431,26.0,622,1.0000000000000003e-05,True,REGULAR,USD
24,PLTR210115C00023000,2021-01-12 14:46:31,23.0,2.94,2.94,3.05,-0.089999914,-2.9702942,36.0,9998,1.0000000000000003e-05,True,REGULAR,USD
25,PLTR210115C00023500,2021-01-12 14:45:57,23.5,2.42,2.53,2.59,0.0,0.0,135.0,1582,1.0000000000000003e-05,True,REGULAR,USD
26,PLTR210115C00024000,2021-01-12 14:45:59,24.0,1.97,2.04,2.11,-0.16000009,-7.51174,615.0,7828,1.0000000000000003e-05,True,REGULAR,USD
27,PLTR210115C00024500,2021-01-12 14:47:37,24.5,1.65,1.62,1.66,-0.100000024,-5.7142873,394.0,3394,0.32813171874999997,True,REGULAR,USD
28,PLTR210115C00025000,2021-01-12 14:47:59,25.0,1.34,1.28,1.3,-0.089999914,-6.2937007,846.0,13505,0.507817421875,True,REGULAR,USD
29,PLTR210115C00025500,2021-01-12 14:47:10,25.5,1.0,1.03,1.04,-0.110000014,-9.909911,311.0,4894,0.6113320117187502,True,REGULAR,USD
30,PLTR210115C00026000,2021-01-12 14:46:56,26.0,0.78,0.76,0.78,-0.09000003,-10.344831,3114.0,24398,0.6367223828125,True,REGULAR,USD
31,PLTR210115C00026500,2021-01-12 14:47:45,26.5,0.59,0.59,0.62,-0.060000002,-9.230769,1743.0,9693,0.6972686523437501,False,REGULAR,USD
32,PLTR210115C00027000,2021-01-12 14:47:50,27.0,0.45,0.45,0.46,-0.04000002,-8.163269,2600.0,21084,0.7304714453125,False,REGULAR,USD
33,PLTR210115C00027500,2021-01-12 14:48:26,27.5,0.34,0.32,0.33,-0.00999999,-2.8571403,611.0,6853,0.7421900781249999,False,REGULAR,USD
34,PLTR210115C00028000,2021-01-12 14:48:01,28.0,0.24,0.23,0.24,-0.030000016,-11.111116,1158.0,16553,0.7617211328125001,False,REGULAR,USD
35,PLTR210115C00028500,2021-01-12 14:47:46,28.5,0.17,0.17,0.18,-0.019999996,-10.526314,250.0,5383,0.7929708203125,False,REGULAR,USD
36,PLTR210115C00029000,2021-01-12 14:47:11,29.0,0.12,0.12,0.13,-0.020000003,-14.285716,473.0,14035,0.8085956640624999,False,REGULAR,USD
37,PLTR210115C00029500,2021-01-12 14:48:17,29.5,0.11,0.1,0.11,0.009999998,9.999998,505.0,1914,0.85937640625,False,REGULAR,USD
38,PLTR210115C00030000,2021-01-12 14:48:10,30.0,0.08,0.07,0.08,-0.010000005,-11.111116,3778.0,80195,0.87500125,False,REGULAR,USD
39,PLTR210115C00030500,2021-01-12 14:48:06,30.5,0.06,0.06,0.08,0.0,0.0,23.0,2369,0.937500625,False,REGULAR,USD
40,PLTR210115C00031000,2021-01-12 14:41:58,31.0,0.06,0.06,0.07,0.009999998,19.999996,13.0,9343,0.99804689453125,False,REGULAR,USD
41,PLTR210115C00031500,2021-01-12 14:39:38,31.5,0.06,0.04,0.06,0.02,50.0,1.0,2193,1.015629921875,False,REGULAR,USD
42,PLTR210115C00032000,2021-01-12 14:32:54,32.0,0.05,0.04,0.05,0.010000002,25.000004,21.0,5786,1.0625046875000002,False,REGULAR,USD
43,PLTR210115C00033000,2021-01-12 14:40:58,33.0,0.03,0.03,0.04,0.0,0.0,221.0,6938,1.140629296875,False,REGULAR,USD
