exp,0,1,2
2021-01-15,5142,,
2021-01-15,9479,,
2021-01-15,6074,,
2021-01-15,6243,,
2021-01-15,9157,,
2021-01-15,9637,,
2021-01-15,5752,,
2021-01-15,3392,,
2021-01-15,76922,,
2021-01-15,5495,,
2021-01-15,6231,,
2021-01-15,11008,,
2021-01-15,3128,,
2021-01-15,13216,,
2021-01-22,4076,4076.0,3522.0
2021-01-22,4076,4076.0,8295.0
2021-01-22,4076,4076.0,4849.0
2021-01-22,4076,4076.0,12993.0
2021-01-22,4076,4076.0,5337.0
2021-01-22,4076,4076.0,13597.0
2021-01-22,4076,4076.0,5871.0
2021-01-22,4076,4076.0,34975.0
2021-01-22,4076,4076.0,4180.0
2021-01-22,4076,4076.0,3552.0
2021-01-22,4076,4076.0,3192.0
2021-01-22,4076,4076.0,6296.0
2021-01-22,4076,4076.0,8164.0
2021-01-22,4076,2256.0,3522.0
2021-01-22,4076,2256.0,8295.0
2021-01-22,4076,2256.0,4849.0
2021-01-22,4076,2256.0,12993.0
2021-01-22,4076,2256.0,5337.0
2021-01-22,4076,2256.0,13597.0
2021-01-22,4076,2256.0,5871.0
2021-01-22,4076,2256.0,34975.0
2021-01-22,4076,2256.0,4180.0
2021-01-22,4076,2256.0,3552.0
2021-01-22,4076,2256.0,3192.0
2021-01-22,4076,2256.0,6296.0
2021-01-22,4076,2256.0,8164.0
2021-01-22,4076,6494.0,3522.0
2021-01-22,4076,6494.0,8295.0
2021-01-22,4076,6494.0,4849.0
2021-01-22,4076,6494.0,12993.0
2021-01-22,4076,6494.0,5337.0
2021-01-22,4076,6494.0,13597.0
2021-01-22,4076,6494.0,5871.0
2021-01-22,4076,6494.0,34975.0
2021-01-22,4076,6494.0,4180.0
2021-01-22,4076,6494.0,3552.0
2021-01-22,4076,6494.0,3192.0
2021-01-22,4076,6494.0,6296.0
2021-01-22,4076,6494.0,8164.0
2021-01-22,4076,4431.0,3522.0
2021-01-22,4076,4431.0,8295.0
2021-01-22,4076,4431.0,4849.0
2021-01-22,4076,4431.0,12993.0
2021-01-22,4076,4431.0,5337.0
2021-01-22,4076,4431.0,13597.0
2021-01-22,4076,4431.0,5871.0
2021-01-22,4076,4431.0,34975.0
2021-01-22,4076,4431.0,4180.0
2021-01-22,4076,4431.0,3552.0
2021-01-22,4076,4431.0,3192.0
2021-01-22,4076,4431.0,6296.0
2021-01-22,4076,4431.0,8164.0
2021-01-22,4076,10450.0,3522.0
2021-01-22,4076,10450.0,8295.0
2021-01-22,4076,10450.0,4849.0
2021-01-22,4076,10450.0,12993.0
2021-01-22,4076,10450.0,5337.0
2021-01-22,4076,10450.0,13597.0
2021-01-22,4076,10450.0,5871.0
2021-01-22,4076,10450.0,34975.0
2021-01-22,4076,10450.0,4180.0
2021-01-22,4076,10450.0,3552.0
2021-01-22,4076,10450.0,3192.0
2021-01-22,4076,10450.0,6296.0
2021-01-22,4076,10450.0,8164.0
2021-01-22,4076,2807.0,3522.0
2021-01-22,4076,2807.0,8295.0
2021-01-22,4076,2807.0,4849.0
2021-01-22,4076,2807.0,12993.0
2021-01-22,4076,2807.0,5337.0
2021-01-22,4076,2807.0,13597.0
2021-01-22,4076,2807.0,5871.0
2021-01-22,4076,2807.0,34975.0
2021-01-22,4076,2807.0,4180.0
2021-01-22,4076,2807.0,3552.0
2021-01-22,4076,2807.0,3192.0
2021-01-22,4076,2807.0,6296.0
2021-01-22,4076,2807.0,8164.0
2021-01-22,4076,7906.0,3522.0
2021-01-22,4076,7906.0,8295.0
2021-01-22,4076,7906.0,4849.0
2021-01-22,4076,7906.0,12993.0
2021-01-22,4076,7906.0,5337.0
2021-01-22,4076,7906.0,13597.0
2021-01-22,4076,7906.0,5871.0
2021-01-22,4076,7906.0,34975.0
2021-01-22,4076,7906.0,4180.0
2021-01-22,4076,7906.0,3552.0
2021-01-22,4076,7906.0,3192.0
2021-01-22,4076,7906.0,6296.0
2021-01-22,4076,7906.0,8164.0
2021-01-22,4076,3920.0,3522.0
2021-01-22,4076,3920.0,8295.0
2021-01-22,4076,3920.0,4849.0
2021-01-22,4076,3920.0,12993.0
2021-01-22,4076,3920.0,5337.0
2021-01-22,4076,3920.0,13597.0
2021-01-22,4076,3920.0,5871.0
2021-01-22,4076,3920.0,34975.0
2021-01-22,4076,3920.0,4180.0
2021-01-22,4076,3920.0,3552.0
2021-01-22,4076,3920.0,3192.0
2021-01-22,4076,3920.0,6296.0
2021-01-22,4076,3920.0,8164.0
2021-01-22,4076,16594.0,3522.0
2021-01-22,4076,16594.0,8295.0
2021-01-22,4076,16594.0,4849.0
2021-01-22,4076,16594.0,12993.0
2021-01-22,4076,16594.0,5337.0
2021-01-22,4076,16594.0,13597.0
2021-01-22,4076,16594.0,5871.0
2021-01-22,4076,16594.0,34975.0
2021-01-22,4076,16594.0,4180.0
2021-01-22,4076,16594.0,3552.0
2021-01-22,4076,16594.0,3192.0
2021-01-22,4076,16594.0,6296.0
2021-01-22,4076,16594.0,8164.0
2021-01-22,4076,2295.0,3522.0
2021-01-22,4076,2295.0,8295.0
2021-01-22,4076,2295.0,4849.0
2021-01-22,4076,2295.0,12993.0
2021-01-22,4076,2295.0,5337.0
2021-01-22,4076,2295.0,13597.0
2021-01-22,4076,2295.0,5871.0
2021-01-22,4076,2295.0,34975.0
2021-01-22,4076,2295.0,4180.0
2021-01-22,4076,2295.0,3552.0
2021-01-22,4076,2295.0,3192.0
2021-01-22,4076,2295.0,6296.0
2021-01-22,4076,2295.0,8164.0
2021-01-22,4076,2390.0,3522.0
2021-01-22,4076,2390.0,8295.0
2021-01-22,4076,2390.0,4849.0
2021-01-22,4076,2390.0,12993.0
2021-01-22,4076,2390.0,5337.0
2021-01-22,4076,2390.0,13597.0
2021-01-22,4076,2390.0,5871.0
2021-01-22,4076,2390.0,34975.0
2021-01-22,4076,2390.0,4180.0
2021-01-22,4076,2390.0,3552.0
2021-01-22,4076,2390.0,3192.0
2021-01-22,4076,2390.0,6296.0
2021-01-22,4076,2390.0,8164.0
2021-01-22,4076,5836.0,3522.0
2021-01-22,4076,5836.0,8295.0
2021-01-22,4076,5836.0,4849.0
2021-01-22,4076,5836.0,12993.0
2021-01-22,4076,5836.0,5337.0
2021-01-22,4076,5836.0,13597.0
2021-01-22,4076,5836.0,5871.0
2021-01-22,4076,5836.0,34975.0
2021-01-22,4076,5836.0,4180.0
2021-01-22,4076,5836.0,3552.0
2021-01-22,4076,5836.0,3192.0
2021-01-22,4076,5836.0,6296.0
2021-01-22,4076,5836.0,8164.0
2021-01-22,2256,4076.0,3522.0
2021-01-22,2256,4076.0,8295.0
2021-01-22,2256,4076.0,4849.0
2021-01-22,2256,4076.0,12993.0
2021-01-22,2256,4076.0,5337.0
