,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,undPriceAsk,undPriceBid,undPriceMid,undPriceLondonTime,undPriceTimestamp,mtime
0,PLTR210122P00014500,2021-01-11 15:52:45,14.5,0.03,0.0,0.24,0.0,0.0,8,49,2.8750028125,False,REGULAR,USD,25.92,25.75,25.835,2021-01-18 13:08:45.729126,1610975325.729126,1610975355.382915
1,PLTR210122P00015000,2021-01-15 19:47:03,15.0,0.02,0.0,0.01,0.01,100.0,64,90,1.75000125,False,REGULAR,USD,25.92,25.75,25.835,2021-01-18 13:08:45.729126,1610975325.729126,1610975355.382915
2,PLTR210122P00015500,2021-01-06 20:34:37,15.5,0.01,0.0,0.24,0.0,0.0,1,35,2.58594103515625,False,REGULAR,USD,25.92,25.75,25.835,2021-01-18 13:08:45.729126,1610975325.729126,1610975355.382915
3,PLTR210122P00016000,2021-01-12 18:14:13,16.0,0.02,0.0,0.03,-0.02,-50.0,1,259,1.75000125,False,REGULAR,USD,25.92,25.75,25.835,2021-01-18 13:08:45.729126,1610975325.729126,1610975355.382915
4,PLTR210122P00016500,2021-01-08 15:11:56,16.5,0.01,0.0,0.24,0.0,0.0,26,84,2.3125042187499996,False,REGULAR,USD,25.92,25.75,25.835,2021-01-18 13:08:45.729126,1610975325.729126,1610975355.382915
5,PLTR210122P00017000,2021-01-14 14:30:03,17.0,0.01,0.0,0.13,0.0,0.0,3,81,1.9375003125,False,REGULAR,USD,25.92,25.75,25.835,2021-01-18 13:08:45.729126,1610975325.729126,1610975355.382915
6,PLTR210122P00017500,2021-01-15 19:24:43,17.5,0.02,0.0,0.13,0.0,0.0,10,183,1.8203133984375,False,REGULAR,USD,25.92,25.75,25.835,2021-01-18 13:08:45.729126,1610975325.729126,1610975355.382915
7,PLTR210122P00018000,2021-01-15 20:28:33,18.0,0.03,0.0,0.03,0.01,50.0,13,541,1.3437532812499997,False,REGULAR,USD,25.92,25.75,25.835,2021-01-18 13:08:45.729126,1610975325.729126,1610975355.382915
8,PLTR210122P00018500,2021-01-15 17:27:12,18.5,0.02,0.0,0.24,-0.01,-33.333336,21,71,1.8007822460937497,False,REGULAR,USD,25.92,25.75,25.835,2021-01-18 13:08:45.729126,1610975325.729126,1610975355.382915
9,PLTR210122P00019000,2021-01-15 20:23:50,19.0,0.01,0.0,0.05,-0.01,-50.0,22,667,1.2578162109375,False,REGULAR,USD,25.92,25.75,25.835,2021-01-18 13:08:45.729126,1610975325.729126,1610975355.382915
10,PLTR210122P00019500,2021-01-15 20:58:01,19.5,0.02,0.01,0.02,-0.02,-50.0,216,313,1.0781296093750001,False,REGULAR,USD,25.92,25.75,25.835,2021-01-18 13:08:45.729126,1610975325.729126,1610975355.382915
