,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,undPriceAsk,undPriceBid,undPriceMid,undPriceLondonTime,undPriceTimestamp
0,PLTR210129C00015000,14/01/2021 19:12,15,10.1,0,0,0,0,1,28,1.00E-05,TRUE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
1,PLTR210129C00017000,11/01/2021 15:22,17,8.85,0,0,0,0,1,0,1.00E-05,TRUE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
2,PLTR210129C00017500,08/01/2021 16:47,17.5,7.65,0,0,0,0,10,0,1.00E-05,TRUE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
3,PLTR210129C00018500,14/01/2021 15:01,18.5,6.35,0,0,0,0,1,0,1.00E-05,TRUE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
4,PLTR210129C00019000,14/01/2021 20:53,19,5.95,0,0,0,0,8,0,1.00E-05,TRUE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
5,PLTR210129C00019500,14/01/2021 16:59,19.5,5.7,0,0,0,0,5,0,1.00E-05,TRUE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
6,PLTR210129C00020000,14/01/2021 19:54,20,5.5,0,0,0,0,121,0,1.00E-05,TRUE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
7,PLTR210129C00020500,14/01/2021 19:56,20.5,5,0,0,0,0,5,752,1.00E-05,TRUE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
8,PLTR210129C00021000,14/01/2021 20:56,21,4.25,0,0,0,0,30,130,1.00E-05,TRUE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
9,PLTR210129C00021500,14/01/2021 17:53,21.5,4.15,0,0,0,0,14,0,1.00E-05,TRUE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
10,PLTR210129C00022000,14/01/2021 18:03,22,3.75,0,0,0,0,37,231,1.00E-05,TRUE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
11,PLTR210129C00022500,14/01/2021 17:16,22.5,3.26,0,0,0,0,15,0,1.00E-05,TRUE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
12,PLTR210129C00023000,14/01/2021 20:53,23,2.9,0,0,0,0,52,357,1.00E-05,TRUE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
13,PLTR210129C00023500,14/01/2021 20:33,23.5,2.72,0,0,0,0,339,2163,1.00E-05,TRUE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
14,PLTR210129C00024000,14/01/2021 20:59,24,2.36,0,0,0,0,460,2656,1.00E-05,TRUE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
15,PLTR210129C00024500,14/01/2021 20:59,24.5,2.15,0,0,0,0,257,0,1.00E-05,TRUE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
16,PLTR210129C00025000,14/01/2021 20:59,25,1.92,0,0,0,0,2691,0,0.007822422,FALSE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
17,PLTR210129C00025500,14/01/2021 20:55,25.5,1.76,0,0,0,0,1246,1514,0.031259688,FALSE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
18,PLTR210129C00026000,14/01/2021 20:46,26,1.53,0,0,0,0,1491,0,0.062509375,FALSE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
19,PLTR210129C00026500,14/01/2021 20:52,26.5,1.41,0,0,0,0,1253,3324,0.062509375,FALSE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
20,PLTR210129C00027000,14/01/2021 20:59,27,1.25,0,0,0,0,2843,0,0.12500875,FALSE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
21,PLTR210129C00027500,14/01/2021 20:47,27.5,1.15,0,0,0,0,904,2244,0.12500875,FALSE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
22,PLTR210129C00028000,14/01/2021 20:58,28,1.01,0,0,0,0,4447,0,0.12500875,FALSE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
23,PLTR210129C00028500,14/01/2021 20:56,28.5,0.92,0,0,0,0,505,1342,0.12500875,FALSE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
24,PLTR210129C00029000,14/01/2021 20:49,29,0.83,0,0,0,0,1044,0,0.2500075,FALSE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
25,PLTR210129C00029500,14/01/2021 20:56,29.5,0.75,0,0,0,0,278,0,0.2500075,FALSE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
26,PLTR210129C00030000,14/01/2021 20:59,30,0.68,0,0,0,0,4877,0,0.2500075,FALSE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
27,PLTR210129C00030500,14/01/2021 19:06,30.5,0.59,0,0,0,0,137,0,0.2500075,FALSE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
28,PLTR210129C00031000,14/01/2021 20:59,31,0.54,0,0,0,0,524,0,0.2500075,FALSE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
29,PLTR210129C00031500,14/01/2021 20:52,31.5,0.51,0,0,0,0,180,0,0.2500075,FALSE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
30,PLTR210129C00032000,14/01/2021 20:13,32,0.49,0,0,0,0,519,1201,0.2500075,FALSE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
31,PLTR210129C00032500,14/01/2021 20:07,32.5,0.46,0,0,0,0,85,0,0.2500075,FALSE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
32,PLTR210129C00033000,14/01/2021 19:34,33,0.36,0,0,0,0,101,817,0.2500075,FALSE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
33,PLTR210129C00033500,14/01/2021 20:48,33.5,0.36,0,0,0,0,29,1183,0.2500075,FALSE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
34,PLTR210129C00035000,14/01/2021 20:26,35,0.27,0,0,0,0,637,3884,0.500005,FALSE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
35,PLTR210129C00036000,14/01/2021 20:56,36,0.23,0,0,0,0,92,0,0.500005,FALSE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
36,PLTR210129C00040000,14/01/2021 20:57,40,0.12,0,0,0,0,1846,4840,0.500005,FALSE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
