,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,undPriceAsk,undPriceBid,undPriceMid,undPriceLondonTime,undPriceTimestamp,mtime
0,PLTR210122P00014500,2021-01-11 15:52:45,14.5,0.03,0.0,0.02,0.0,0.0,8,49,2.3125042187499996,False,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.240134
1,PLTR210122P00015000,2021-01-15 19:47:03,15.0,0.02,0.0,0.01,0.0,0.0,64,152,2.0625048437499998,False,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.240134
2,PLTR210122P00015500,2021-01-06 20:34:37,15.5,0.01,0.0,0.02,0.0,0.0,1,35,2.0937547656249995,False,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.240134
3,PLTR210122P00016000,2021-01-12 18:14:13,16.0,0.02,0.0,0.02,0.0,0.0,1,260,1.96875015625,False,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.240134
4,PLTR210122P00016500,2021-01-08 15:11:56,16.5,0.01,0.0,0.02,0.0,0.0,26,84,1.875000625,False,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.240134
5,PLTR210122P00017000,2021-01-14 14:30:03,17.0,0.01,0.0,0.01,0.0,0.0,3,81,1.625001875,False,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.240134
6,PLTR210122P00017500,2021-01-15 19:24:43,17.5,0.02,0.0,0.02,0.0,0.0,10,192,1.65625171875,False,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.240134
7,PLTR210122P00018000,2021-01-19 20:45:52,18.0,0.01,0.0,0.01,-0.02,-66.66667,13,549,1.4375028125,False,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.240134
8,PLTR210122P00018500,2021-01-19 18:14:14,18.5,0.01,0.0,0.02,-0.01,-50.0,228,65,1.46875265625,False,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.240134
9,PLTR210122P00019000,2021-01-19 20:32:59,19.0,0.01,0.01,0.02,0.0,0.0,547,668,1.4375028125,False,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.240134
10,PLTR210122P00019500,2021-01-15 20:58:01,19.5,0.04,0.0,0.02,0.02,100.0,43,442,1.2812535937499998,False,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.240134
11,PLTR210122P00020000,2021-01-19 20:45:33,20.0,0.01,0.01,0.02,-0.01,-50.0,169,1507,1.2500037499999999,False,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.240134
12,PLTR210122P00020500,2021-01-19 18:23:02,20.5,0.02,0.0,0.02,0.01,100.0,8,413,1.09375453125,False,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.240134
13,PLTR210122P00021000,2021-01-19 20:11:59,21.0,0.02,0.02,0.03,-0.01,-33.333336,440,1259,1.140629296875,False,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.240134
14,PLTR210122P00021500,2021-01-19 20:50:33,21.5,0.01,0.01,0.03,-0.03,-75.0,71,919,1.000005,False,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.240134
15,PLTR210122P00022000,2021-01-19 20:59:46,22.0,0.04,0.03,0.04,-0.010000002,-20.000004,457,1944,1.000005,False,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.240134
16,PLTR210122P00022500,2021-01-19 20:47:15,22.5,0.04,0.04,0.05,-0.030000001,-42.857143,382,1472,0.945313046875,False,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.240134
17,PLTR210122P00023000,2021-01-19 20:58:01,23.0,0.06,0.06,0.07,-0.06,-50.0,767,2441,0.914063359375,False,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.240134
18,PLTR210122P00023500,2021-01-19 20:54:07,23.5,0.09,0.08,0.1,-0.11,-55.0,821,1890,0.8710950390625,False,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.240134
19,PLTR210122P00024000,2021-01-19 20:56:43,24.0,0.13,0.13,0.14,-0.21000001,-61.764706,2542,4497,0.8476577734374999,False,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.240134
20,PLTR210122P00024500,2021-01-19 20:56:47,24.5,0.2,0.17,0.2,-0.26,-56.521736,3075,11923,0.804689453125,False,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.240134
21,PLTR210122P00025000,2021-01-19 20:59:20,25.0,0.27,0.27,0.3,-0.42,-60.869564,6977,11315,0.8007832421875,False,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.240134
22,PLTR210122P00025500,2021-01-19 20:59:03,25.5,0.41,0.41,0.45,-0.61,-59.80393,6350,5144,0.8085956640624999,False,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.240134
23,PLTR210122P00026000,2021-01-19 20:58:01,26.0,0.64,0.59,0.64,-0.66999996,-51.145035,8335,4695,0.8105487695312499,False,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.240134
24,PLTR210122P00026500,2021-01-19 20:56:43,26.5,0.86,0.83,0.86,-0.86,-50.0,3656,1337,0.81445498046875,False,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.240134
25,PLTR210122P00027000,2021-01-19 20:58:57,27.0,1.2,1.1,1.18,-0.8799999,-42.307686,5276,2723,0.8378922460937499,True,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.240134
26,PLTR210122P00027500,2021-01-19 20:59:19,27.5,1.54,1.43,1.52,-0.94000006,-37.90323,1340,1007,0.86132951171875,True,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.240134
27,PLTR210122P00028000,2021-01-19 20:57:06,28.0,1.92,1.78,1.9,-0.90999997,-32.15548,1085,824,0.8789074609374999,True,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.240134
28,PLTR210122P00028500,2021-01-19 20:56:43,28.5,2.37,2.19,2.31,-0.93000007,-28.181822,828,443,0.9160164648437501,True,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.240134
29,PLTR210122P00030000,2021-01-19 20:58:28,30.0,3.65,3.45,3.65,-1.0,-21.505375,716,853,0.9726565234375,True,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.240134
30,PLTR210122P00031000,2021-01-19 14:40:29,31.0,4.75,4.4,4.6,0.07999992,1.7130604,99,128,1.05078599609375,True,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.240134
31,PLTR210122P00031500,2021-01-19 20:43:24,31.5,4.8,4.85,5.1,-0.19999981,-3.9999962,88,35,1.0703171484375003,True,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.240134
32,PLTR210122P00032000,2021-01-19 20:33:13,32.0,5.4,5.35,5.55,-0.9499998,-14.960628,50,87,1.0742233789062503,True,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.240134
33,PLTR210122P00032500,2021-01-15 19:33:34,32.5,5.55,5.85,6.05,-0.38999987,-6.5656543,28,129,1.1445355273437499,True,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.240134
34,PLTR210122P00033000,2021-01-15 19:59:59,33.0,6.25,6.35,6.55,-1.0500002,-14.383563,13,42,1.2109414453124998,True,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.240134
35,PLTR210122P00033500,2021-01-19 20:43:24,33.5,6.75,6.8,7.05,-0.5,-6.8965516,173,52,1.1796916015624999,True,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.240134
