,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,undPriceAsk,undPriceBid,undPriceMid,undPriceLondonTime,undPriceTimestamp,mtime
0,PLTR210129C00015000,2021-01-22 20:57:29,15.0,17.5,0.0,0.0,0.0,0.0,9,4,1.0000000000000003e-05,True,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.015042
1,PLTR210129C00017000,2021-01-22 19:41:50,17.0,13.9,0.0,0.0,0.0,0.0,31,11,1.0000000000000003e-05,True,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.015042
2,PLTR210129C00017500,2021-01-22 18:16:01,17.5,11.75,0.0,0.0,0.0,0.0,11,0,1.0000000000000003e-05,True,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.015042
3,PLTR210129C00018500,2021-01-22 19:02:06,18.5,12.0,0.0,0.0,0.0,0.0,93,8,1.0000000000000003e-05,True,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.015042
4,PLTR210129C00019000,2021-01-22 19:27:59,19.0,11.2,0.0,0.0,0.0,0.0,21,41,1.0000000000000003e-05,True,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.015042
5,PLTR210129C00019500,2021-01-22 20:50:24,19.5,12.8,0.0,0.0,0.0,0.0,58,40,1.0000000000000003e-05,True,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.015042
6,PLTR210129C00020000,2021-01-22 20:55:21,20.0,12.54,0.0,0.0,0.0,0.0,106,456,1.0000000000000003e-05,True,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.015042
7,PLTR210129C00020500,2021-01-22 20:11:01,20.5,11.4,0.0,0.0,0.0,0.0,53,723,1.0000000000000003e-05,True,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.015042
8,PLTR210129C00021000,2021-01-22 20:52:26,21.0,11.45,0.0,0.0,0.0,0.0,121,202,1.0000000000000003e-05,True,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.015042
9,PLTR210129C00021500,2021-01-22 20:50:24,21.5,10.8,0.0,0.0,0.0,0.0,40,91,1.0000000000000003e-05,True,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.015042
