,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,undPriceAsk,undPriceBid,undPriceMid,undPriceLondonTime,undPriceTimestamp,mtime
387,PLTR210521C00016000,2021-01-26 16:31:32,16.0,19.35,19.15,20.95,0.0,0.0,8,5873,1.1884806201171876,True,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
388,PLTR210521C00017500,2021-01-26 20:47:23,17.5,18.5,18.0,19.2,0.0,0.0,40,3183,0.97460962890625,True,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
389,PLTR210521C00019000,2021-01-26 15:46:45,19.0,17.6,17.1,18.0,0.0,0.0,5,1248,0.8164080859374999,True,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
390,PLTR210521C00020000,2021-01-27 15:10:40,20.0,16.9,16.0,17.3,0.35000038,2.114806,55,6111,0.8032246240234374,True,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
391,PLTR210521C00021000,2021-01-27 14:47:24,21.0,15.0,15.55,16.95,-1.2000008,-7.4074116,3,823,0.9418951123046875,True,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
392,PLTR210521C00022000,2021-01-26 20:25:31,22.0,15.0,14.95,16.15,0.0,0.0,41,1825,0.9580082324218748,True,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
393,PLTR210521C00023000,2021-01-27 15:05:38,23.0,14.6,14.35,15.0,0.45000076,3.1802173,10,950,0.9243171630859376,True,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
394,PLTR210521C00024000,2021-01-27 14:45:49,24.0,14.35,13.75,14.55,0.24000072,1.7009265,18,2008,0.9645999633789062,True,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
395,PLTR210521C00025000,2021-01-27 15:10:53,25.0,13.67,13.2,14.15,0.42000008,3.169812,94,4906,1.0024463940429689,True,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
396,PLTR210521C00026000,2021-01-27 14:56:35,26.0,13.2,12.6,13.35,0.8000002,6.4516144,19,3611,0.99023447265625,True,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
397,PLTR210521C00027000,2021-01-27 15:15:06,27.0,12.25,12.15,12.5,0.10000038,0.8230484,65,3780,0.983398603515625,True,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
398,PLTR210521C00028000,2021-01-27 14:32:00,28.0,12.25,11.35,12.1,0.7399998,6.42919,14,2367,0.981445498046875,True,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
399,PLTR210521C00029000,2021-01-26 20:30:41,29.0,11.2,10.6,11.75,0.0,0.0,79,1872,0.9831544653320312,True,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
400,PLTR210521C00030000,2021-01-27 15:09:19,30.0,11.11,10.8,11.15,0.60999966,5.8095207,230,14423,1.0332079589843752,True,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
401,PLTR210521C00031000,2021-01-27 15:08:56,31.0,11.2,10.35,11.15,0.9499998,9.268291,11,859,1.0730026818847658,True,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
402,PLTR210521C00032000,2021-01-27 14:57:06,32.0,10.34,9.75,10.4,0.32999992,3.2967024,35,879,1.0444383715820313,True,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
403,PLTR210521C00033000,2021-01-27 15:01:32,33.0,10.4,9.25,10.05,1.0,10.638298,14,3706,1.0483446020507814,True,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
404,PLTR210521C00034000,2021-01-27 14:54:10,34.0,10.0,8.95,9.65,0.8500004,9.289622,50,1189,1.0595750146484377,True,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
405,PLTR210521C00035000,2021-01-27 15:09:00,35.0,9.2,8.55,9.25,0.5100002,5.868818,158,9776,1.0612839904785156,True,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
406,PLTR210521C00036000,2021-01-27 15:06:47,36.0,9.2,8.45,8.9,0.8000002,9.523811,129,1544,1.0832565368652345,True,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
407,PLTR210521C00037000,2021-01-27 14:44:11,37.0,7.4,8.1,8.6,-0.7000003,-8.641978,19,2542,1.0896041613769532,False,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
408,PLTR210521C00038000,2021-01-27 14:37:41,38.0,7.0,7.65,8.4,-0.71000004,-9.208819,3,579,1.0935103918457032,False,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
409,PLTR210521C00039000,2021-01-27 14:43:13,39.0,7.2,7.2,8.0,-0.4500003,-5.8823566,24,2660,1.0830123974609376,False,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
410,PLTR210521C00040000,2021-01-27 15:18:41,40.0,7.36,7.2,7.7,0.059999943,0.82191706,760,18103,1.1049849438476564,False,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
411,PLTR210521C00041000,2021-01-26 19:17:23,41.0,6.85,6.9,7.8,0.0,0.0,14,413,1.1311078601074218,False,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
412,PLTR210521C00042000,2021-01-27 14:34:27,42.0,5.0,6.55,7.2,-1.25,-20.0,2,481,1.1088911743164065,False,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
413,PLTR210521C00043000,2021-01-26 18:07:07,43.0,6.5,6.3,7.0,0.0,0.0,22,264,1.1162153564453123,False,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
414,PLTR210521C00044000,2021-01-27 15:14:26,44.0,6.5,6.2,6.5,0.36000013,5.863195,12,961,1.1125532653808592,False,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
415,PLTR210521C00045000,2021-01-27 14:54:32,45.0,6.69,6.0,6.55,0.6199999,10.214166,97,2247,1.1352582299804688,False,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
416,PLTR210521C00046000,2021-01-27 14:40:04,46.0,6.0,5.4,6.25,0.2800002,4.8951087,12,573,1.1103560107421875,False,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
417,PLTR210521C00047000,2021-01-27 14:52:36,47.0,5.92,5.55,6.0,0.1500001,2.5996552,4,521,1.1335492541503909,False,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
418,PLTR210521C00048000,2021-01-26 19:09:36,48.0,5.2,4.9,6.3,0.0,0.0,2,141,1.1401410180664064,False,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
419,PLTR210521C00049000,2021-01-27 15:14:50,49.0,5.33,4.9,6.2,0.32999992,6.5999985,14,393,1.1608928674316408,False,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
420,PLTR210521C00050000,2021-01-27 15:18:41,50.0,5.12,5.05,5.2,0.069999695,1.3861326,450,11433,1.1337933935546878,False,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
