,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,undPriceAsk,undPriceBid,undPriceMid,undPriceLondonTime,undPriceTimestamp,mtime
0,PLTR210122C00014500,2021-01-15 14:44:54,14.5,12.19,12.0,12.25,0.0,0.0,6,7,2.1250046874999997,True,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.234963
1,PLTR210122C00015000,2021-01-19 19:07:50,15.0,11.7,11.5,11.75,0.05000019,0.42918617,7,43,2.0625048437499998,True,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.234963
2,PLTR210122C00015500,2021-01-14 14:33:52,15.5,11.4,11.0,11.25,1.4499998,14.572864,1,2,1.9375003125,True,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.234963
3,PLTR210122C00016000,2021-01-19 20:34:15,16.0,10.71,10.5,10.75,-0.14000034,-1.2903258,11,6,1.8125009374999999,True,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.234963
4,PLTR210122C00016500,2021-01-19 14:34:30,16.5,10.0,10.0,10.25,1.6499996,19.760473,2,9,1.75000125,True,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.234963
5,PLTR210122C00017000,2021-01-19 14:40:29,17.0,9.8,9.5,9.75,1.3500004,15.9763365,13,77,1.625001875,True,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.234963
6,PLTR210122C00017500,2021-01-15 20:54:52,17.5,9.75,9.0,9.25,1.75,21.875,4,13,1.5625021874999998,True,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.234963
7,PLTR210122C00018000,2021-01-15 16:57:04,18.0,8.75,8.5,8.75,-0.19999981,-2.2346349,5,34,1.4375028125,True,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.234963
8,PLTR210122C00018500,2021-01-15 18:45:09,18.5,8.6,8.0,8.25,0.5500002,6.8323,4,75,1.3750031249999999,True,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.234963
9,PLTR210122C00019000,2021-01-15 15:42:24,19.0,7.9,7.5,7.75,-0.24999952,-3.067479,2,78,1.2500037499999999,True,REGULAR,USD,26.85,26.83,26.84,2021-01-19 21:42:17.725183,1611092537.725183,1611092633.234963
