,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,undPriceAsk,undPriceBid,undPriceMid,undPriceLondonTime,undPriceTimestamp
0,PLTR210122C00014500,12/01/2021 18:38,14.5,10.5,0,0,0,0,3,2,1.00E-05,TRUE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
1,PLTR210122C00015000,14/01/2021 15:26,15,9.95,0,0,0,0,3,0,1.00E-05,TRUE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
2,PLTR210122C00015500,14/01/2021 14:33,15.5,9.95,0,0,0,0,1,0,1.00E-05,TRUE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
3,PLTR210122C00016000,05/01/2021 18:00,16,9.3,0,0,0,0,11,0,1.00E-05,TRUE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
4,PLTR210122C00016500,14/01/2021 14:38,16.5,8.35,0,0,0,0,3,9,1.00E-05,TRUE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
5,PLTR210122C00017000,13/01/2021 19:57,17,8.45,0,0,0,0,82,77,1.00E-05,TRUE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
6,PLTR210122C00017500,14/01/2021 17:12,17.5,7.5,0,0,0,0,11,0,1.00E-05,TRUE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
7,PLTR210122C00018000,14/01/2021 17:12,18,6.95,0,0,0,0,14,37,1.00E-05,TRUE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
8,PLTR210122C00018500,14/01/2021 17:12,18.5,6.45,0,0,0,0,42,51,1.00E-05,TRUE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
9,PLTR210122C00019000,14/01/2021 20:13,19,6.05,0,0,0,0,23,0,1.00E-05,TRUE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
10,PLTR210122C00019500,13/01/2021 19:33,19.5,6,0,0,0,0,9,0,1.00E-05,TRUE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
11,PLTR210122C00020000,14/01/2021 20:46,20,5,0,0,0,0,60,0,1.00E-05,TRUE,REGULAR,USD,26.31,26.25,26.28,51:03.8,1610711464
