,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,undPriceAsk,undPriceBid,undPriceMid,undPriceLondonTime,undPriceTimestamp,mtime
0,PLTR210129P00015000,2021-01-22 20:22:56,15.0,0.01,0.0,0.01,0.0,0.0,108,637,2.000005,False,REGULAR,USD,32.55,32.5,32.525,2021-01-23 14:37:44.901944,1611412664.901944,1611412673.931653
1,PLTR210129P00017000,2021-01-22 20:48:49,17.0,0.01,0.0,0.01,0.0,0.0,60,174,1.6875015625,False,REGULAR,USD,32.55,32.5,32.525,2021-01-23 14:37:44.901944,1611412664.901944,1611412673.931653
2,PLTR210129P00017500,2021-01-22 20:29:12,17.5,0.01,0.0,0.01,0.0,0.0,76,32,1.625001875,False,REGULAR,USD,32.55,32.5,32.525,2021-01-23 14:37:44.901944,1611412664.901944,1611412673.931653
3,PLTR210129P00018500,2021-01-22 20:45:17,18.5,0.01,0.0,0.01,-0.02,-66.66667,284,324,1.5000025,False,REGULAR,USD,32.55,32.5,32.525,2021-01-23 14:37:44.901944,1611412664.901944,1611412673.931653
4,PLTR210129P00019000,2021-01-22 20:42:52,19.0,0.02,0.01,0.03,0.01,100.0,172,1271,1.6875015625,False,REGULAR,USD,32.55,32.5,32.525,2021-01-23 14:37:44.901944,1611412664.901944,1611412673.931653
5,PLTR210129P00019500,2021-01-22 20:18:33,19.5,0.02,0.0,0.03,-0.01,-33.333336,28,431,1.5468772656249998,False,REGULAR,USD,32.55,32.5,32.525,2021-01-23 14:37:44.901944,1611412664.901944,1611412673.931653
6,PLTR210129P00020000,2021-01-22 20:58:06,20.0,0.03,0.02,0.05,0.01,50.0,1946,2024,1.65625171875,False,REGULAR,USD,32.55,32.5,32.525,2021-01-23 14:37:44.901944,1611412664.901944,1611412673.931653
7,PLTR210129P00020500,2021-01-22 20:19:50,20.5,0.04,0.01,0.07,0.0,0.0,124,449,1.609376953125,False,REGULAR,USD,32.55,32.5,32.525,2021-01-23 14:37:44.901944,1611412664.901944,1611412673.931653
8,PLTR210129P00021000,2021-01-22 20:51:04,21.0,0.02,0.02,0.03,-0.04,-66.66667,1026,1824,1.4375028125,False,REGULAR,USD,32.55,32.5,32.525,2021-01-23 14:37:44.901944,1611412664.901944,1611412673.931653
9,PLTR210129P00021500,2021-01-22 20:38:15,21.5,0.03,0.01,0.04,-0.060000002,-66.66667,221,918,1.3750031249999999,False,REGULAR,USD,32.55,32.5,32.525,2021-01-23 14:37:44.901944,1611412664.901944,1611412673.931653
