,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,undPriceAsk,undPriceBid,undPriceMid,undPriceLondonTime,undPriceTimestamp
0,PLTR210115C00003000,08/01/2021 18:54,3,21.76,0,0,0,0,23,4,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
1,PLTR210115C00004000,11/01/2021 18:51,4,22.15,0,0,0,0,,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
2,PLTR210115C00005000,12/01/2021 20:59,5,21.1,0,0,0,0,5,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
3,PLTR210115C00006000,04/01/2021 14:58,6,17.1,0,0,0,0,13,1,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
4,PLTR210115C00007000,29/12/2020 14:36,7,18.65,0,0,0,0,10,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
5,PLTR210115C00008000,21/12/2020 18:03,8,19.6,0,0,0,0,1,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
6,PLTR210115C00009000,08/01/2021 14:41,9,16.35,0,0,0,0,39,1,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
7,PLTR210115C00010000,07/01/2021 20:44,10,15.85,0,0,0,0,3,99,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
8,PLTR210115C00011000,11/01/2021 16:31,11,14.91,0,0,0,0,3,7,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
9,PLTR210115C00012000,12/01/2021 14:39,12,14.3,0,0,0,0,2,17,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
10,PLTR210115C00013000,11/01/2021 18:40,13,13,0,0,0,0,30,42,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
11,PLTR210115C00014000,12/01/2021 18:30,14,12,0,0,0,0,4,98,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
12,PLTR210115C00015000,12/01/2021 20:12,15,11.05,0,0,0,0,84,341,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
13,PLTR210115C00016000,12/01/2021 19:13,16,10.05,0,0,0,0,40,252,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
14,PLTR210115C00017000,12/01/2021 19:05,17,9.15,0,0,0,0,14,81,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
15,PLTR210115C00018000,12/01/2021 20:53,18,8.15,0,0,0,0,24,1795,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
16,PLTR210115C00019000,12/01/2021 20:29,19,7.15,0,0,0,0,81,940,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
17,PLTR210115C00019500,12/01/2021 20:30,19.5,6.45,0,0,0,0,52,78,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
18,PLTR210115C00020000,12/01/2021 20:33,20,6,0,0,0,0,144,5598,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
19,PLTR210115C00020500,12/01/2021 20:41,20.5,5.55,0,0,0,0,118,147,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
20,PLTR210115C00021000,12/01/2021 19:36,21,5.05,0,0,0,0,1045,2109,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
21,PLTR210115C00021500,12/01/2021 19:23,21.5,4.5,0,0,0,0,38,445,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
22,PLTR210115C00022000,12/01/2021 20:36,22,4.01,0,0,0,0,90,2465,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
23,PLTR210115C00022500,12/01/2021 18:57,22.5,3.55,0,0,0,0,44,636,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
24,PLTR210115C00023000,12/01/2021 20:57,23,3.21,0,0,0,0,239,9949,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
25,PLTR210115C00023500,12/01/2021 20:55,23.5,2.69,0,0,0,0,265,1436,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
26,PLTR210115C00024000,12/01/2021 20:58,24,2.21,0,0,0,0,1375,7212,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
27,PLTR210115C00024500,12/01/2021 20:49,24.5,1.8,0,0,0,0,1127,3028,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
28,PLTR210115C00025000,12/01/2021 20:59,25,1.42,0,0,0,0,4617,12062,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
29,PLTR210115C00025500,12/01/2021 20:59,25.5,1.08,0,0,0,0,2930,4818,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
30,PLTR210115C00026000,12/01/2021 20:59,26,0.82,0,0,0,0,17926,25704,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
31,PLTR210115C00026500,12/01/2021 20:59,26.5,0.6,0,0,0,0,13038,9954,0.062509375,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
32,PLTR210115C00027000,12/01/2021 20:59,27,0.42,0,0,0,0,11739,22698,0.12500875,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
33,PLTR210115C00027500,12/01/2021 20:59,27.5,0.29,0,0,0,0,3632,7725,0.12500875,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
